id,instruction_target_image,instruction_prompt,source,translate,category,object,,
edit_29,image_edit_magic_data/image_29.png,make the church a castle,image_edit_meta,把教堂变成城堡,Local,教堂,,
edit_30,image_edit_magic_data/image_30.png,convert the woman to a 3D model,image_edit_meta,将这位女性转换为三维模型,Local,女性,,
edit_31,image_edit_magic_data/image_31.png,have the model wear a hat,image_edit_meta,让模特戴上帽子。,Addition,无修改物体,,
edit_32,image_edit_magic_data/image_32.png,put them in a treehouse,image_edit_meta,把他们放在树屋里。,Background,无修改物体,,
edit_33,image_edit_magic_data/image_33.png,place her on the moon,image_edit_meta,将她放在月球上,Background,无修改物体,,
edit_34,image_edit_magic_data/image_34.png,have the boy be a girl,image_edit_meta,让男孩变成女孩,Local,男孩,,
edit_35,image_edit_magic_data/image_35.png,turn into a mermaid,image_edit_meta,变成美人鱼,Local,男人,,
edit_36,image_edit_magic_data/image_36.png,replace the pool with a lake,image_edit_meta,将游泳池替换为湖泊,Local,游泳池,,
edit_37,image_edit_magic_data/image_37.png,make the dress sparkle,image_edit_meta,让裙子闪闪发光,Local,裙子,,
edit_38,image_edit_magic_data/image_38.png,make it a penguin,image_edit_meta,把它变成一只企鹅。,Local,鸟,,
edit_39,image_edit_magic_data/image_39.png,turn the book into a tablet,image_edit_meta,将书本变成平板电脑,Local,书本,,
edit_40,image_edit_magic_data/image_40.png,let's see him in a futuristic city,image_edit_meta,让我们看看他在未来城市中的样子。,Background,无修改物体,,
edit_41,image_edit_magic_data/image_41.png,let's see her with a different hat,image_edit_meta,让我们看看她戴不同帽子的样子。,Local,帽子,,
edit_42,image_edit_magic_data/image_42.png,turn into a painting,image_edit_meta,变成一幅画,Global,无修改物体,,
edit_43,image_edit_magic_data/image_43.png,convert to a futuristic cyborg,image_edit_meta,变成未来的半机械人,Local,无修改物体,,
edit_44,image_edit_magic_data/image_44.png,have her wear a winter hat,image_edit_meta,请让她戴一顶冬天的帽子。,Addition,她,,
edit_45,image_edit_magic_data/image_45.png,make her look at ancient scrolls,image_edit_meta,让她查看古卷轴。,Local,她,,
edit_46,image_edit_magic_data/image_46.png,take the old man and put him in a modern city,image_edit_meta,把老人带到现代城市里去。,Background,无修改物体,,
edit_47,image_edit_magic_data/image_47.png,replace the grass with a cloud,image_edit_meta,请将草地换成云朵。,Local,草地,,
edit_48,image_edit_magic_data/image_48.png,have her wear a superhero cape,image_edit_meta,让她穿上超级英雄斗篷。,Local,衣服,,
edit_49,image_edit_magic_data/image_49.png,have the puppy wear sunglasses,image_edit_meta,让小狗戴上太阳镜。,Addition,无修改物体,,
edit_50,image_edit_magic_data/image_50.png,have the girl be in a restaurant,image_edit_meta,让女孩在餐厅里。,Background,无修改物体,,
edit_51,image_edit_magic_data/image_51.png,make it a color photo,image_edit_meta,请把它制成彩色照片。,Global,无修改物体,,
edit_52,image_edit_magic_data/image_52.png,change the location to a snowy mountain,image_edit_meta,将地点改为雪山。,Background,无修改物体,,
edit_53,image_edit_magic_data/image_53.png,make the boy a girl,image_edit_meta,把男孩变成女孩,Local,男孩,,
edit_54,image_edit_magic_data/image_54.png,make the masks into clown faces,image_edit_meta,将口罩做成小丑面孔,Local,口罩,,
edit_55,image_edit_magic_data/image_55.png,make it more futuristic,image_edit_meta,请将其变得更具有未来感。,Global,无修改物体,,
edit_56,image_edit_magic_data/image_56.png,turn the desert into a jungle,image_edit_meta,把沙漠变成丛林,Local,沙漠,,
edit_57,image_edit_magic_data/image_57.png,let's see them in a futuristic city,image_edit_meta,让我们在未来的城市里看看他们。,Background,无修改物体,,
edit_58,image_edit_magic_data/image_58.png,turn it into a golden dragon necklace,image_edit_meta,将它变成一条金龙项链。,Local,项链,,
edit_59,image_edit_magic_data/image_59.png,change the mask to animal faces,image_edit_meta,将口罩更换为动物面孔,Local,口罩,,
edit_60,image_edit_magic_data/image_60.png,transform the pier into a treehouse,image_edit_meta,将码头改造成树屋。,Local,码头,,
edit_61,image_edit_magic_data/image_61.png,make it a sunset background,image_edit_meta,请将其设置为夕阳背景。,Background,无修改物体,,
edit_62,image_edit_magic_data/image_62.png,make the city look futuristic,image_edit_meta,让城市看起来充满未来感,Global,无修改物体,,
edit_63,image_edit_magic_data/image_63.png,have the flowers be made of candy,image_edit_meta,请将花朵做成糖果的。,Local,花朵,,
edit_64,image_edit_magic_data/image_64.png,make it a vegan hamburger,image_edit_meta,请把它做成素食汉堡。,Local,汉堡,,
edit_65,image_edit_magic_data/image_65.png,have them wear winter clothes,image_edit_meta,让他们穿上冬装,Local,他们,,
edit_66,image_edit_magic_data/image_66.png,replace Christmas tree with palm tree,image_edit_meta,将圣诞树替换为棕榈树,Local,圣诞树,,
edit_67,image_edit_magic_data/image_67.png,have them be aliens,image_edit_meta,让他们成为外星人。,Local,他们,,
edit_68,image_edit_magic_data/image_68.png,let's see it in a futuristic style,image_edit_meta,让我们以未来主义的风格来看待它。,Global,无修改物体,,
edit_69,image_edit_magic_data/image_69.png,have him taste a different beverage,image_edit_meta,请让他品尝一种不同的饮料。,Local,饮料,,
edit_70,image_edit_magic_data/image_70.png,set her in a field of flowers,image_edit_meta,将她置于花海之中,Background,无修改物体,,
edit_71,image_edit_magic_data/image_71.png,set it in a library,image_edit_meta,将其设置在图书馆里,Background,无修改物体,,
edit_72,image_edit_magic_data/image_72.png,make it a train bridge,image_edit_meta,请把它建造成一座火车桥。,Local,桥,,
edit_73,image_edit_magic_data/image_73.png,move the flower pot to a cliff,image_edit_meta,把花盆移到悬崖上。,Background,无修改物体,,
edit_74,image_edit_magic_data/image_74.png,"replace the background with a dark, stone-brick wall",image_edit_meta,请将背景替换为深色的石砖墙。,Background,无修改物体,,
edit_75,image_edit_magic_data/image_75.png,have him ride on water,image_edit_meta,请让他骑在水上。,Background,无修改物体,,
edit_76,image_edit_magic_data/image_76.png,replace the colored powder with sand,image_edit_meta,请将彩色粉末替换为沙子。,Local,彩色粉末,,
edit_77,image_edit_magic_data/image_77.png,change dress to short,image_edit_meta,换衣服到短款,Local,衣服,,
edit_78,image_edit_magic_data/image_78.png,make it a portrait of a woman,image_edit_meta,请将其描绘为一位女性的肖像。,Global,无修改物体,,
edit_79,image_edit_magic_data/image_79.png,change the background to a beach,image_edit_meta,将背景更改为海滩,Background,无修改物体,,
edit_80,image_edit_magic_data/image_80.png,give the doll a scary expression,image_edit_meta,给娃娃一个恐怖的表情,Local,娃娃,,
edit_81,image_edit_magic_data/image_81.png,set the scene in a dystopian future,image_edit_meta,设定在一个反乌托邦的未来场景中,Global,无修改物体,,
edit_82,image_edit_magic_data/image_82.png,make the couple into zombies,image_edit_meta,把这对夫妇变成僵尸,Local,这对夫妇,,
edit_83,image_edit_magic_data/image_83.png,have them be in a band.,image_edit_meta,让他们组建一个乐队。,Background,无修改物体,,
edit_84,image_edit_magic_data/image_84.png,have the golden gate bridge be made of candy,image_edit_meta,让金门大桥由糖果制成,Local,金门大桥,,
edit_85,image_edit_magic_data/image_85.png,change the office background to a beach,image_edit_meta,将办公室背景更换为海滩。,Background,无修改物体,,
edit_86,image_edit_magic_data/image_86.png,replace the garden with a beach,image_edit_meta,将花园替换为海滩,Local,花园,,
edit_87,image_edit_magic_data/image_87.png,take away the mask,image_edit_meta,摘下口罩,Remove,口罩,,
edit_88,image_edit_magic_data/image_88.png,have a giant coffee cup appear next to him,image_edit_meta,请让他旁边出现一个巨大的咖啡杯。,Addition,无修改物体,,
edit_89,image_edit_magic_data/image_89.png,fill the field with wildflowers,image_edit_meta,用野花填满这片土地。,Addition,无修改物体,,
edit_90,image_edit_magic_data/image_90.png,place her in a busy city square,image_edit_meta,把她放在一个繁忙的城市广场上,Background,无修改物体,,
edit_91,image_edit_magic_data/image_91.png,have her hair turn into a giant snake,image_edit_meta,让她的头发变成一条巨蛇,Local,头发,,
edit_92,image_edit_magic_data/image_92.png,change the background to a beach,image_edit_meta,将背景更改为海滩,Background,无修改物体,,
edit_93,image_edit_magic_data/image_93.png,make it sunset,image_edit_meta,请把它变成夕阳。,Global,无修改物体,,
edit_94,image_edit_magic_data/image_94.png,make the dragon breathe fire,image_edit_meta,让龙喷火,Local,龙,,
edit_95,image_edit_magic_data/image_95.png,have him hold a sword instead,image_edit_meta,请让他拿着剑代替。,Addition,无修改物体,,
edit_96,image_edit_magic_data/image_96.png,have her pose in a futuristic cityscape,image_edit_meta,请让她在未来的城市景观中摆姿势。,Background,无修改物体,,
edit_97,image_edit_magic_data/image_97.png,make the soup a casserole,image_edit_meta,把汤做成炖菜,Local,汤,,
edit_98,image_edit_magic_data/image_98.png,transform the room into a jungle,image_edit_meta,把房间改造成丛林,Local,房间,,
edit_99,image_edit_magic_data/image_99.png,turn into a painting,image_edit_meta,变成一幅画,Global,无修改物体,,
edit_100,image_edit_magic_data/image_100.png,make them into a sandwich,image_edit_meta,把它们做成一个三明治。,Local,面包,,
edit_101,image_edit_magic_data/image_101.png,replace the cat with a dog,image_edit_meta,请将猫换成狗。,Local,猫,,
edit_102,image_edit_magic_data/image_102.png,have him be on a tropical island instead,image_edit_meta,让他去一个热带岛屿,Background,无修改物体,,
edit_103,image_edit_magic_data/image_103.png,make it a soccer stadium,image_edit_meta,把它做成足球场,Global,无修改物体,,
edit_104,image_edit_magic_data/image_104.png,give him a superhero cape,image_edit_meta,给他一件超级英雄斗篷,Addition,无修改物体,,
edit_105,image_edit_magic_data/image_105.png,transform into a watercolor painting,image_edit_meta,将...转变成水彩画,Global,无修改物体,,
edit_106,image_edit_magic_data/image_106.png,add a piece of bread,image_edit_meta,加一片面包,Addition,无修改物体,,
edit_107,image_edit_magic_data/image_107.png,append a trendy hat,image_edit_meta,搭配一顶时尚帽子,Addition,无修改物体,,
edit_108,image_edit_magic_data/image_108.png,incorporate a stunning sunset in the background.,image_edit_meta,在背景中融入绚丽的日落景色。,Background,无修改物体,,
edit_109,image_edit_magic_data/image_109.png,insert a peacock feather in her hair,image_edit_meta,在她的头发上插一根孔雀羽毛,Addition,无修改物体,,
edit_110,image_edit_magic_data/image_110.png,include a safari hat on the giraffe,image_edit_meta,请在长颈鹿身上加上一顶狩猎帽。,Addition,无修改物体,,
edit_111,image_edit_magic_data/image_111.png,add a pet cat alongside them,image_edit_meta,请在他们旁边添加一只宠物猫。,Addition,无修改物体,,
edit_112,image_edit_magic_data/image_112.png,add a pair of sunglasses,image_edit_meta,请添加一副太阳镜。,Addition,无修改物体,,
edit_113,image_edit_magic_data/image_113.png,alongside a majestic dolphin,image_edit_meta,与一只雄伟的海豚并肩同行。,Addition,无修改物体,,
edit_114,image_edit_magic_data/image_114.png,add a witch hat on the ghost,image_edit_meta,请给幽灵加上一顶女巫帽。,Addition,无修改物体,,
edit_115,image_edit_magic_data/image_115.png,add a bouquet of colorful flowers,image_edit_meta,请添加一束多彩的花。,Addition,无修改物体,,
edit_116,image_edit_magic_data/image_116.png,insert a surfboard between them,image_edit_meta,在他们之间插入一块冲浪板。,Addition,无修改物体,,
edit_117,image_edit_magic_data/image_117.png,put a beauty mask on the woman,image_edit_meta,在女士脸上敷上面膜。,Addition,无修改物体,,
edit_118,image_edit_magic_data/image_118.png,integrate a golden crown,image_edit_meta,将一顶金色的王冠融入（整合）其中,Addition,无修改物体,,
edit_119,image_edit_magic_data/image_119.png,add a seagull flying alongside the lighthouse,image_edit_meta,请在灯塔旁边添加一只飞翔的海鸥。,Addition,无修改物体,,
edit_120,image_edit_magic_data/image_120.png,Add a festive hat to the Christmas tree,image_edit_meta,在圣诞树上添加一顶节日帽。,Addition,无修改物体,,
edit_121,image_edit_magic_data/image_121.png,add a toy to the shopping cart,image_edit_meta,将玩具添加到购物车。,Addition,无修改物体,,
edit_122,image_edit_magic_data/image_122.png,put a guitar in his hands,image_edit_meta,把吉他交到他手里,Addition,无修改物体,,
edit_123,image_edit_magic_data/image_123.png,add a seagull flying above the lake,image_edit_meta,在湖面上添加一只飞翔的海鸥。,Addition,无修改物体,,
edit_124,image_edit_magic_data/image_124.png,have them hold a coffee cup,image_edit_meta,请让他们拿着一个咖啡杯。,Addition,无修改物体,,
edit_125,image_edit_magic_data/image_125.png,Have her hold a brush alongside the painting,image_edit_meta,请让她拿着画笔靠在画的旁边。,Addition,无修改物体,,
edit_126,image_edit_magic_data/image_126.png,place a toolbox alongside her,image_edit_meta,将一个工具箱放在她旁边。,Addition,无修改物体,,
edit_127,image_edit_magic_data/image_127.png,give the girl a hat,image_edit_meta,给那个女孩一顶帽子。,Addition,无修改物体,,
edit_128,image_edit_magic_data/image_128.png,set a vintage camera on the pier,image_edit_meta,在码头上放置一台复古相机。,Addition,无修改物体,,
edit_129,image_edit_magic_data/image_129.png,integrate a red barn,image_edit_meta,将一个红色谷仓融入（整合）进去,Addition,无修改物体,,
edit_130,image_edit_magic_data/image_130.png,add a lovely blue scarf,image_edit_meta,请添加一条漂亮的蓝色围巾。,Addition,无修改物体,,
edit_131,image_edit_magic_data/image_131.png,add a crown to the young woman,image_edit_meta,请给这位年轻女子加上一顶王冠。,Addition,无修改物体,,
edit_132,image_edit_magic_data/image_132.png,add a gift box,image_edit_meta,添加礼品盒,Addition,无修改物体,,
edit_133,image_edit_magic_data/image_133.png,add a Christmas tree in the background,image_edit_meta,在背景中添加一棵圣诞树。,Addition,无修改物体,,
edit_134,image_edit_magic_data/image_134.png,set a champagne glass beside her.,image_edit_meta,请在她旁边放一只香槟杯。,Addition,无修改物体,,
edit_135,image_edit_magic_data/image_135.png,append a vintage car,image_edit_meta,附加一辆古董车,Addition,无修改物体,,
edit_136,image_edit_magic_data/image_136.png,integrate a tiara on the daughter,image_edit_meta,在女儿头上佩戴一顶冠冕,Addition,无修改物体,,
edit_137,image_edit_magic_data/image_137.png,incorporate a glowing crescent moon in the sky,image_edit_meta,在天空中融入一轮发光的新月。,Addition,无修改物体,,
edit_138,image_edit_magic_data/image_138.png,include a bottle of wine and two glasses,image_edit_meta,请包含一瓶葡萄酒和两个酒杯。,Addition,无修改物体,,
edit_139,image_edit_magic_data/image_139.png,add a traditional Japanese temple in the background,image_edit_meta,在背景中添加一个传统的日本寺庙。,Background,无修改物体,,
edit_140,image_edit_magic_data/image_140.png,add a book to her hand,image_edit_meta,在她的手里加一本书。,Addition,无修改物体,,
edit_141,image_edit_magic_data/image_141.png,put a coffee cup on the table in front of her,image_edit_meta,请把一个咖啡杯放在她面前的桌子上。,Addition,无修改物体,,
edit_142,image_edit_magic_data/image_142.png,add a fishing rod and fish to the boy,image_edit_meta,给男孩添加一根钓鱼竿和鱼。,Addition,无修改物体,,
edit_143,image_edit_magic_data/image_143.png,add a bindi on her forehead,image_edit_meta,在她的额头上点一个红点,Addition,无修改物体,,
edit_144,image_edit_magic_data/image_144.png,have her hold a microphone,image_edit_meta,请让她拿着麦克风。,Addition,无修改物体,,
edit_145,image_edit_magic_data/image_145.png,add a computer screen in front of them,image_edit_meta,在他们面前添加一台电脑屏幕。,Addition,无修改物体,,
edit_146,image_edit_magic_data/image_146.png,insert a beach umbrella,image_edit_meta,插入一把沙滩伞,Addition,无修改物体,,
edit_147,image_edit_magic_data/image_147.png,add a basket of apples,image_edit_meta,添加一篮子苹果,Addition,无修改物体,,
edit_148,image_edit_magic_data/image_148.png,put a water bottle in her hand,image_edit_meta,把一瓶水放在她手里。,Addition,无修改物体,,
edit_149,image_edit_magic_data/image_149.png,set them in a beautiful garden with colorful flowers,image_edit_meta,把它们放在一个美丽的花园里，到处都是五彩缤纷的花朵。,Background,无修改物体,,
edit_150,image_edit_magic_data/image_150.png,insert a pencil,image_edit_meta,将一支铅笔插入,Addition,无修改物体,,
edit_151,image_edit_magic_data/image_151.png,have a canoe in the pond,image_edit_meta,在池塘里有一艘独木舟。,Addition,无修改物体,,
edit_152,image_edit_magic_data/image_152.png,insert a party hat on the middle dog,image_edit_meta,请在中间的狗头上插入一顶派对帽。,Addition,无修改物体,,
edit_153,image_edit_magic_data/image_153.png,add a bottle of champagne,image_edit_meta,请添加一瓶香槟。,Addition,无修改物体,,
edit_154,image_edit_magic_data/image_154.png,incorporate a colorful background,image_edit_meta,将彩色背景融入,Background,无修改物体,,
edit_155,image_edit_magic_data/image_155.png,add a hair dryer to the scene,image_edit_meta,在场景中添加一个吹风机。,Addition,无修改物体,,
edit_156,image_edit_magic_data/image_156.png,incorporate a flowing mane for the horse,image_edit_meta,为马融入飘逸的鬃毛,Addition,无修改物体,,
edit_157,image_edit_magic_data/image_157.png,append a small dog next to her,image_edit_meta,在她旁边附上一只小狗。,Addition,无修改物体,,
edit_158,image_edit_magic_data/image_158.png,add a dollop of whipped cream on top of the front muffin,image_edit_meta,请在前面的松饼上加一勺打发的奶油。,Addition,无修改物体,,
edit_159,image_edit_magic_data/image_159.png,add a frisbee to the dog's mouth,image_edit_meta,请将飞盘加到狗的嘴里。,Addition,无修改物体,,
edit_160,image_edit_magic_data/image_160.png,put a wrench near the disc brake,image_edit_meta,将扳手放在盘式制动器附近。,Addition,无修改物体,,
edit_161,image_edit_magic_data/image_161.png,integrate a saxophone player,image_edit_meta,将一名萨克斯风乐手融入画面,Addition,无修改物体,,
edit_162,image_edit_magic_data/image_162.png,insert a skateboard in the foreground,image_edit_meta,在前景中插入一块滑板。,Addition,无修改物体,,
edit_163,image_edit_magic_data/image_163.png,append 'avocado',image_edit_meta,加一个牛油果,Addition,无修改物体,,
edit_164,image_edit_magic_data/image_164.png,add a safari hat on the leopard,image_edit_meta,请给豹子加上一顶狩猎帽。,Addition,无修改物体,,
edit_165,image_edit_magic_data/image_165.png,add a dumbbell to the woman's hand,image_edit_meta,在女人的手中添加一个哑铃。,Addition,无修改物体,,
edit_166,image_edit_magic_data/image_166.png,add a rainbow,image_edit_meta,添加一道彩虹,Addition,无修改物体,,
edit_167,image_edit_magic_data/image_167.png,add a book,image_edit_meta,添加一本书,Addition,无修改物体,,
edit_168,image_edit_magic_data/image_168.png,add a couple taking a selfie in front of the house,image_edit_meta,请添加一对夫妇在房子前自拍的图片。,Addition,无修改物体,,
edit_169,image_edit_magic_data/image_169.png,put a pair of sunglasses on her,image_edit_meta,请给她戴上一副太阳镜。,Addition,无修改物体,,
edit_170,image_edit_magic_data/image_170.png,add a school of colorful fish swimming nearby,image_edit_meta,请添加一群五彩斑斓的鱼儿在附近游弋的场景。,Addition,无修改物体,,
edit_171,image_edit_magic_data/image_171.png,append a pair of sunglasses,image_edit_meta,附加一副太阳镜,Addition,无修改物体,,
edit_172,image_edit_magic_data/image_172.png,integrate a butterfly on her hair,image_edit_meta,在她的头发上融入一只蝴蝶。,Addition,无修改物体,,
edit_173,image_edit_magic_data/image_173.png,add a fishing rod and fish to the scene,image_edit_meta,在场景中添加一根钓鱼竿和鱼。,Addition,无修改物体,,
edit_174,image_edit_magic_data/image_174.png,have her hold a shell,image_edit_meta,请让她拿着一个贝壳。,Addition,无修改物体,,
edit_175,image_edit_magic_data/image_175.png,incorporate a dog near the boy,image_edit_meta,让一只狗靠近那个男孩。,Addition,无修改物体,,
edit_176,image_edit_magic_data/image_176.png,add a crown,image_edit_meta,增加一个皇冠,Addition,无修改物体,,
edit_177,image_edit_magic_data/image_177.png,insert a snorkel and mask on the sea lion,image_edit_meta,请给海狮戴上呼吸管和面罩。,Addition,无修改物体,,
edit_178,image_edit_magic_data/image_178.png,add a sombrero on top,image_edit_meta,请在顶部加上一顶宽边帽。,Addition,无修改物体,,
edit_179,image_edit_magic_data/image_179.png,add a laptop in front of her,image_edit_meta,在她面前放一台笔记本电脑。,Addition,无修改物体,,
edit_180,image_edit_magic_data/image_180.png,give her a book,image_edit_meta,给她一本书。,Addition,无修改物体,,
edit_181,image_edit_magic_data/image_181.png,add a smiling face,image_edit_meta,请添加一个微笑的表情。,Addition,无修改物体,,
edit_182,image_edit_magic_data/image_182.png,insert a hot air balloon in the sky,image_edit_meta,在天空中插入一个热气球。,Addition,无修改物体,,
edit_183,image_edit_magic_data/image_183.png,add a basket of eggs,image_edit_meta,添加一篮子鸡蛋,Addition,无修改物体,,
edit_184,image_edit_magic_data/image_184.png,add a golden necklace,image_edit_meta,添加一条金项链,Addition,无修改物体,,
edit_185,image_edit_magic_data/image_185.png,add a life jacket,image_edit_meta,添加一件救生衣,Addition,无修改物体,,
edit_186,image_edit_magic_data/image_186.png,add a bottle of hot sauce,image_edit_meta,请加一瓶辣酱。,Addition,无修改物体,,
edit_187,image_edit_magic_data/image_187.png,add a fishbowl,image_edit_meta,请添加一个鱼缸。,Addition,无修改物体,,
edit_188,image_edit_magic_data/image_188.png,add a beach ball,image_edit_meta,添加一个沙滩球,Addition,无修改物体,,
edit_189,image_edit_magic_data/image_189.png,change the girl's dress to blue,image_edit_meta,把女孩的裙子换成蓝色。,Local,女孩的裙子,,
edit_190,image_edit_magic_data/image_190.png,replace bride and groom with Kung Fu Panda and Tigress,image_edit_meta,把新娘和新郎换成功夫熊猫和虎妞,Local,新娘和新郎,,
edit_191,image_edit_magic_data/image_191.png,change beignets to crepes,image_edit_meta,将炸面团改为可丽饼,Local,炸面团,,
edit_192,image_edit_magic_data/image_192.png,replace girl with a cat,image_edit_meta,把女孩换成一只猫,Local,女孩,,
edit_193,image_edit_magic_data/image_193.png,replace curly hair with straight hair,image_edit_meta,将卷发替换为直发,Local,卷发,,
edit_194,image_edit_magic_data/image_194.png,replace dog with cat,image_edit_meta,将狗替换为猫,Local,狗,,
edit_195,image_edit_magic_data/image_195.png,make it a pug,image_edit_meta,把它变成一只哈巴狗,Local,狗,,
edit_196,image_edit_magic_data/image_196.png,give them animal masks,image_edit_meta,给她们动物面具,Local,她们,,
edit_197,image_edit_magic_data/image_197.png,make him a girl,image_edit_meta,把他变成一个女孩,Local,他,,
edit_198,image_edit_magic_data/image_198.png,change blue to red,image_edit_meta,将蓝色改为红色,Global,无修改物体,,
edit_199,image_edit_magic_data/image_199.png,turn her into a princess,image_edit_meta,把她变成公主。,Local,她,,
edit_200,image_edit_magic_data/image_200.png,change cheongsam to a yellow sundress,image_edit_meta,把旗袍换成黄色背心裙,Local,旗袍,,
edit_201,image_edit_magic_data/image_201.png,make the nails look longer,image_edit_meta,让指甲看起来更长,Local,指甲,,
edit_202,image_edit_magic_data/image_202.png,make it a pink bear.,image_edit_meta,请把它做成一只粉红色的熊。,Local,熊,,
edit_203,image_edit_magic_data/image_203.png,turn girl into boy,image_edit_meta,将女孩变成男孩,Local,女孩,,
edit_204,image_edit_magic_data/image_204.png,switch dress to pants,image_edit_meta,把连衣裙换成裤子。,Local,连衣裙,,
edit_205,image_edit_magic_data/image_205.png,replace the pearl with a cellphone,image_edit_meta,将珍珠替换为手机,Local,珍珠,,
edit_206,image_edit_magic_data/image_206.png,swap showerhead to a flower,image_edit_meta,请将淋浴头换成花朵。,Local,淋浴头,,
edit_207,image_edit_magic_data/image_207.png,replace sword with a flower,image_edit_meta,以花代剑,Local,剑,,
edit_208,image_edit_magic_data/image_208.png,change roses to daisies,image_edit_meta,将玫瑰改为雏菊,Local,玫瑰,,
edit_209,image_edit_magic_data/image_209.png,change blue eyes to green eyes,image_edit_meta,将蓝色眼睛改为绿色眼睛。,Local,蓝色眼睛,,
edit_210,image_edit_magic_data/image_210.png,turn the cow into a pig,image_edit_meta,把牛变成猪,Local,牛,,
edit_211,image_edit_magic_data/image_211.png,have the teddy bear to be a real bear,image_edit_meta,让泰迪熊变成一只真正的熊。,Local,泰迪熊,,
edit_212,image_edit_magic_data/image_212.png,make them wear sunglasses,image_edit_meta,让他们戴上墨镜,Addition,无修改物体,,
edit_213,image_edit_magic_data/image_213.png,have them wear dresses instead.,image_edit_meta,让她们穿裙子代替。,Local,她们,,
edit_214,image_edit_magic_data/image_214.png,make the mobile phone into a toy car,image_edit_meta,把手机变成玩具车,Local,手机,,
edit_215,image_edit_magic_data/image_215.png,replace girl with a seagull,image_edit_meta,将女孩替换为海鸥,Local,女孩,,
edit_216,image_edit_magic_data/image_216.png,replace the balloons with planets,image_edit_meta,将气球替换为行星,Local,气球,,
edit_217,image_edit_magic_data/image_217.png,replace candies with golden coins.,image_edit_meta,请将糖果替换为金币。,Local,糖果,,
edit_218,image_edit_magic_data/image_218.png,convert bird to rabbit,image_edit_meta,将鸟转换为兔子,Local,鸟,,
edit_219,image_edit_magic_data/image_219.png,make her look like she's from the 1920s,image_edit_meta,让她看起来像来自1920年代。,Local,她,,
