id,instruction_target_image,instruction_prompt,source
edit_51,image_edit_magic_data/image_51.png,make it a color photo,image_edit_meta
edit_52,image_edit_magic_data/image_52.png,change the location to a snowy mountain,image_edit_meta
edit_53,image_edit_magic_data/image_53.png,make the boy a girl,image_edit_meta
edit_54,image_edit_magic_data/image_54.png,make the masks into clown faces,image_edit_meta
edit_55,image_edit_magic_data/image_55.png,make it more futuristic,image_edit_meta
edit_56,image_edit_magic_data/image_56.png,turn the desert into a jungle,image_edit_meta
edit_57,image_edit_magic_data/image_57.png,let's see them in a futuristic city,image_edit_meta
edit_58,image_edit_magic_data/image_58.png,turn it into a golden dragon necklace,image_edit_meta
edit_59,image_edit_magic_data/image_59.png,change the mask to animal faces,image_edit_meta
edit_60,image_edit_magic_data/image_60.png,transform the pier into a treehouse,image_edit_meta
edit_61,image_edit_magic_data/image_61.png,make it a sunset background,image_edit_meta
edit_62,image_edit_magic_data/image_62.png,make the city look futuristic,image_edit_meta
edit_63,image_edit_magic_data/image_63.png,have the flowers be made of candy,image_edit_meta
edit_64,image_edit_magic_data/image_64.png,make it a vegan hamburger,image_edit_meta
edit_65,image_edit_magic_data/image_65.png,have them wear winter clothes,image_edit_meta
edit_66,image_edit_magic_data/image_66.png,replace Christmas tree with palm tree,image_edit_meta
edit_67,image_edit_magic_data/image_67.png,have them be aliens,image_edit_meta
edit_68,image_edit_magic_data/image_68.png,let's see it in a futuristic style,image_edit_meta
edit_69,image_edit_magic_data/image_69.png,have him taste a different beverage,image_edit_meta
edit_70,image_edit_magic_data/image_70.png,set her in a field of flowers,image_edit_meta
edit_71,image_edit_magic_data/image_71.png,set it in a library,image_edit_meta
edit_72,image_edit_magic_data/image_72.png,make it a train bridge,image_edit_meta
edit_73,image_edit_magic_data/image_73.png,move the flower pot to a cliff,image_edit_meta
edit_74,image_edit_magic_data/image_74.png,"replace the background with a dark, stone-brick wall",image_edit_meta
edit_75,image_edit_magic_data/image_75.png,have him ride on water,image_edit_meta
edit_76,image_edit_magic_data/image_76.png,replace the colored powder with sand,image_edit_meta
edit_77,image_edit_magic_data/image_77.png,change dress to short,image_edit_meta
edit_78,image_edit_magic_data/image_78.png,make it a portrait of a woman,image_edit_meta
edit_79,image_edit_magic_data/image_79.png,change the background to a beach,image_edit_meta
edit_80,image_edit_magic_data/image_80.png,give the doll a scary expression,image_edit_meta
edit_81,image_edit_magic_data/image_81.png,set the scene in a dystopian future,image_edit_meta
edit_82,image_edit_magic_data/image_82.png,make the couple into zombies,image_edit_meta
edit_83,image_edit_magic_data/image_83.png,have them be in a band.,image_edit_meta
edit_84,image_edit_magic_data/image_84.png,have the golden gate bridge be made of candy,image_edit_meta
edit_85,image_edit_magic_data/image_85.png,change the office background to a beach,image_edit_meta
edit_86,image_edit_magic_data/image_86.png,replace the garden with a beach,image_edit_meta
edit_87,image_edit_magic_data/image_87.png,take away the mask,image_edit_meta
edit_88,image_edit_magic_data/image_88.png,have a giant coffee cup appear next to him,image_edit_meta
edit_89,image_edit_magic_data/image_89.png,fill the field with wildflowers,image_edit_meta
edit_90,image_edit_magic_data/image_90.png,place her in a busy city square,image_edit_meta
edit_91,image_edit_magic_data/image_91.png,have her hair turn into a giant snake,image_edit_meta
edit_92,image_edit_magic_data/image_92.png,change the background to a beach,image_edit_meta
edit_93,image_edit_magic_data/image_93.png,make it sunset,image_edit_meta
edit_94,image_edit_magic_data/image_94.png,make the dragon breathe fire,image_edit_meta
edit_95,image_edit_magic_data/image_95.png,have him hold a sword instead,image_edit_meta
edit_96,image_edit_magic_data/image_96.png,have her pose in a futuristic cityscape,image_edit_meta
edit_97,image_edit_magic_data/image_97.png,make the soup a casserole,image_edit_meta
edit_98,image_edit_magic_data/image_98.png,transform the room into a jungle,image_edit_meta
edit_99,image_edit_magic_data/image_99.png,turn into a painting,image_edit_meta
edit_100,image_edit_magic_data/image_100.png,make them into a sandwich,image_edit_meta
edit_101,image_edit_magic_data/image_101.png,replace the cat with a dog,image_edit_meta
edit_102,image_edit_magic_data/image_102.png,have him be on a tropical island instead,image_edit_meta
edit_103,image_edit_magic_data/image_103.png,make it a soccer stadium,image_edit_meta
edit_104,image_edit_magic_data/image_104.png,give him a superhero cape,image_edit_meta
edit_105,image_edit_magic_data/image_105.png,transform into a watercolor painting,image_edit_meta
edit_106,image_edit_magic_data/image_106.png,add a piece of bread,image_edit_meta
edit_107,image_edit_magic_data/image_107.png,append a trendy hat,image_edit_meta
edit_108,image_edit_magic_data/image_108.png,incorporate a stunning sunset in the background.,image_edit_meta
edit_109,image_edit_magic_data/image_109.png,insert a peacock feather in her hair,image_edit_meta
edit_110,image_edit_magic_data/image_110.png,include a safari hat on the giraffe,image_edit_meta
edit_111,image_edit_magic_data/image_111.png,add a pet cat alongside them,image_edit_meta
edit_112,image_edit_magic_data/image_112.png,add a pair of sunglasses,image_edit_meta
edit_113,image_edit_magic_data/image_113.png,alongside a majestic dolphin,image_edit_meta
edit_114,image_edit_magic_data/image_114.png,add a witch hat on the ghost,image_edit_meta
edit_115,image_edit_magic_data/image_115.png,add a bouquet of colorful flowers,image_edit_meta
edit_116,image_edit_magic_data/image_116.png,insert a surfboard between them,image_edit_meta
edit_117,image_edit_magic_data/image_117.png,put a beauty mask on the woman,image_edit_meta
edit_118,image_edit_magic_data/image_118.png,integrate a golden crown,image_edit_meta
edit_119,image_edit_magic_data/image_119.png,add a seagull flying alongside the lighthouse,image_edit_meta
edit_120,image_edit_magic_data/image_120.png,Add a festive hat to the Christmas tree,image_edit_meta
edit_121,image_edit_magic_data/image_121.png,add a toy to the shopping cart,image_edit_meta
edit_122,image_edit_magic_data/image_122.png,put a guitar in his hands,image_edit_meta
edit_123,image_edit_magic_data/image_123.png,add a seagull flying above the lake,image_edit_meta
edit_124,image_edit_magic_data/image_124.png,have them hold a coffee cup,image_edit_meta
edit_125,image_edit_magic_data/image_125.png,Have her hold a brush alongside the painting,image_edit_meta
edit_126,image_edit_magic_data/image_126.png,place a toolbox alongside her,image_edit_meta
edit_127,image_edit_magic_data/image_127.png,give the girl a hat,image_edit_meta
edit_128,image_edit_magic_data/image_128.png,set a vintage camera on the pier,image_edit_meta
edit_129,image_edit_magic_data/image_129.png,integrate a red barn,image_edit_meta
edit_130,image_edit_magic_data/image_130.png,add a lovely blue scarf,image_edit_meta
edit_131,image_edit_magic_data/image_131.png,add a crown to the young woman,image_edit_meta
edit_132,image_edit_magic_data/image_132.png,add a gift box,image_edit_meta
edit_133,image_edit_magic_data/image_133.png,add a Christmas tree in the background,image_edit_meta
edit_134,image_edit_magic_data/image_134.png,set a champagne glass beside her.,image_edit_meta
edit_135,image_edit_magic_data/image_135.png,append a vintage car,image_edit_meta
edit_136,image_edit_magic_data/image_136.png,integrate a tiara on the daughter,image_edit_meta
edit_137,image_edit_magic_data/image_137.png,incorporate a glowing crescent moon in the sky,image_edit_meta
edit_138,image_edit_magic_data/image_138.png,include a bottle of wine and two glasses,image_edit_meta
edit_139,image_edit_magic_data/image_139.png,add a traditional Japanese temple in the background,image_edit_meta
edit_140,image_edit_magic_data/image_140.png,add a book to her hand,image_edit_meta
edit_141,image_edit_magic_data/image_141.png,put a coffee cup on the table in front of her,image_edit_meta
edit_142,image_edit_magic_data/image_142.png,add a fishing rod and fish to the boy,image_edit_meta
edit_143,image_edit_magic_data/image_143.png,add a bindi on her forehead,image_edit_meta
edit_144,image_edit_magic_data/image_144.png,have her hold a microphone,image_edit_meta
edit_145,image_edit_magic_data/image_145.png,add a computer screen in front of them,image_edit_meta
edit_146,image_edit_magic_data/image_146.png,insert a beach umbrella,image_edit_meta
edit_147,image_edit_magic_data/image_147.png,add a basket of apples,image_edit_meta
edit_148,image_edit_magic_data/image_148.png,put a water bottle in her hand,image_edit_meta
edit_149,image_edit_magic_data/image_149.png,set them in a beautiful garden with colorful flowers,image_edit_meta
edit_150,image_edit_magic_data/image_150.png,insert a pencil,image_edit_meta
edit_151,image_edit_magic_data/image_151.png,have a canoe in the pond,image_edit_meta
edit_152,image_edit_magic_data/image_152.png,insert a party hat on the middle dog,image_edit_meta
edit_153,image_edit_magic_data/image_153.png,add a bottle of champagne,image_edit_meta
edit_154,image_edit_magic_data/image_154.png,incorporate a colorful background,image_edit_meta
edit_155,image_edit_magic_data/image_155.png,add a hair dryer to the scene,image_edit_meta
edit_156,image_edit_magic_data/image_156.png,incorporate a flowing mane for the horse,image_edit_meta
edit_157,image_edit_magic_data/image_157.png,append a small dog next to her,image_edit_meta
edit_158,image_edit_magic_data/image_158.png,add a dollop of whipped cream on top of the front muffin,image_edit_meta
edit_159,image_edit_magic_data/image_159.png,add a frisbee to the dog's mouth,image_edit_meta
edit_160,image_edit_magic_data/image_160.png,put a wrench near the disc brake,image_edit_meta
edit_161,image_edit_magic_data/image_161.png,integrate a saxophone player,image_edit_meta
edit_162,image_edit_magic_data/image_162.png,insert a skateboard in the foreground,image_edit_meta
edit_163,image_edit_magic_data/image_163.png,append 'avocado',image_edit_meta
edit_164,image_edit_magic_data/image_164.png,add a safari hat on the leopard,image_edit_meta
edit_165,image_edit_magic_data/image_165.png,add a dumbbell to the woman's hand,image_edit_meta
edit_166,image_edit_magic_data/image_166.png,add a rainbow,image_edit_meta
edit_167,image_edit_magic_data/image_167.png,add a book,image_edit_meta
edit_168,image_edit_magic_data/image_168.png,add a couple taking a selfie in front of the house,image_edit_meta
edit_169,image_edit_magic_data/image_169.png,put a pair of sunglasses on her,image_edit_meta
edit_170,image_edit_magic_data/image_170.png,add a school of colorful fish swimming nearby,image_edit_meta
edit_171,image_edit_magic_data/image_171.png,append a pair of sunglasses,image_edit_meta
edit_172,image_edit_magic_data/image_172.png,integrate a butterfly on her hair,image_edit_meta
edit_173,image_edit_magic_data/image_173.png,add a fishing rod and fish to the scene,image_edit_meta
edit_174,image_edit_magic_data/image_174.png,have her hold a shell,image_edit_meta
edit_175,image_edit_magic_data/image_175.png,incorporate a dog near the boy,image_edit_meta
edit_176,image_edit_magic_data/image_176.png,add a crown,image_edit_meta
edit_177,image_edit_magic_data/image_177.png,insert a snorkel and mask on the sea lion,image_edit_meta
edit_178,image_edit_magic_data/image_178.png,add a sombrero on top,image_edit_meta
edit_179,image_edit_magic_data/image_179.png,add a laptop in front of her,image_edit_meta
edit_180,image_edit_magic_data/image_180.png,give her a book,image_edit_meta
edit_181,image_edit_magic_data/image_181.png,add a smiling face,image_edit_meta
edit_182,image_edit_magic_data/image_182.png,insert a hot air balloon in the sky,image_edit_meta
edit_183,image_edit_magic_data/image_183.png,add a basket of eggs,image_edit_meta
edit_184,image_edit_magic_data/image_184.png,add a golden necklace,image_edit_meta
edit_185,image_edit_magic_data/image_185.png,add a life jacket,image_edit_meta
edit_186,image_edit_magic_data/image_186.png,add a bottle of hot sauce,image_edit_meta
edit_187,image_edit_magic_data/image_187.png,add a fishbowl,image_edit_meta
edit_188,image_edit_magic_data/image_188.png,add a beach ball,image_edit_meta
edit_189,image_edit_magic_data/image_189.png,change the girl's dress to blue,image_edit_meta
edit_190,image_edit_magic_data/image_190.png,replace bride and groom with Kung Fu Panda and Tigress,image_edit_meta
edit_191,image_edit_magic_data/image_191.png,change beignets to crepes,image_edit_meta
edit_192,image_edit_magic_data/image_192.png,replace girl with a cat,image_edit_meta
edit_193,image_edit_magic_data/image_193.png,replace curly hair with straight hair,image_edit_meta
edit_194,image_edit_magic_data/image_194.png,replace dog with cat,image_edit_meta
edit_195,image_edit_magic_data/image_195.png,make it a pug,image_edit_meta
edit_196,image_edit_magic_data/image_196.png,give them animal masks,image_edit_meta
edit_197,image_edit_magic_data/image_197.png,make him a girl,image_edit_meta
edit_198,image_edit_magic_data/image_198.png,change blue to red,image_edit_meta
edit_199,image_edit_magic_data/image_199.png,turn her into a princess,image_edit_meta
edit_200,image_edit_magic_data/image_200.png,change cheongsam to a yellow sundress,image_edit_meta
edit_201,image_edit_magic_data/image_201.png,make the nails look longer,image_edit_meta
edit_202,image_edit_magic_data/image_202.png,make it a pink bear.,image_edit_meta
edit_203,image_edit_magic_data/image_203.png,turn girl into boy,image_edit_meta
edit_204,image_edit_magic_data/image_204.png,switch dress to pants,image_edit_meta
edit_205,image_edit_magic_data/image_205.png,replace the pearl with a cellphone,image_edit_meta
edit_206,image_edit_magic_data/image_206.png,swap showerhead to a flower,image_edit_meta
edit_207,image_edit_magic_data/image_207.png,replace sword with a flower,image_edit_meta
edit_208,image_edit_magic_data/image_208.png,change roses to daisies,image_edit_meta
edit_209,image_edit_magic_data/image_209.png,change blue eyes to green eyes,image_edit_meta
edit_210,image_edit_magic_data/image_210.png,turn the cow into a pig,image_edit_meta
edit_211,image_edit_magic_data/image_211.png,have the teddy bear to be a real bear,image_edit_meta
edit_212,image_edit_magic_data/image_212.png,make them wear sunglasses,image_edit_meta
edit_213,image_edit_magic_data/image_213.png,have them wear dresses instead.,image_edit_meta
edit_214,image_edit_magic_data/image_214.png,make the mobile phone into a toy car,image_edit_meta
edit_215,image_edit_magic_data/image_215.png,replace girl with a seagull,image_edit_meta
edit_216,image_edit_magic_data/image_216.png,replace the balloons with planets,image_edit_meta
edit_217,image_edit_magic_data/image_217.png,replace candies with golden coins.,image_edit_meta
edit_218,image_edit_magic_data/image_218.png,convert bird to rabbit,image_edit_meta
edit_219,image_edit_magic_data/image_219.png,make her look like she's from the 1920s,image_edit_meta
edit_220,image_edit_magic_data/image_220.png,make him look like a kid,image_edit_meta
edit_221,image_edit_magic_data/image_221.png,replace the right man's face with a shark's face,image_edit_meta
edit_222,image_edit_magic_data/image_222.png,swap traditional clothing with modern dress,image_edit_meta
edit_223,image_edit_magic_data/image_223.png,swap birdhouse with lighthouse,image_edit_meta
edit_224,image_edit_magic_data/image_224.png,replace dog with cat,image_edit_meta
edit_225,image_edit_magic_data/image_225.png,have her smile,image_edit_meta
edit_226,image_edit_magic_data/image_226.png,replace the dog with a cat,image_edit_meta
edit_227,image_edit_magic_data/image_227.png,replace tree with a giant mushroom,image_edit_meta
edit_228,image_edit_magic_data/image_228.png,make her look angry,image_edit_meta
edit_229,image_edit_magic_data/image_229.png,change the color of the glitter to blue,image_edit_meta
edit_230,image_edit_magic_data/image_230.png,change flowers to sunflowers,image_edit_meta
edit_231,image_edit_magic_data/image_231.png,replace smoked salmon with bacon,image_edit_meta
edit_232,image_edit_magic_data/image_232.png,turn man into a woman.,image_edit_meta
edit_233,image_edit_magic_data/image_233.png,replace earphones with a horn.,image_edit_meta
edit_234,image_edit_magic_data/image_234.png,replace corgi with pug,image_edit_meta
edit_235,image_edit_magic_data/image_235.png,change the lighthouse to a castle,image_edit_meta
edit_236,image_edit_magic_data/image_236.png,turn the scuba diver into a mermaid,image_edit_meta
edit_237,image_edit_magic_data/image_237.png,replace helicopter with hot air balloon,image_edit_meta
edit_238,image_edit_magic_data/image_238.png,make her hair pink,image_edit_meta
edit_239,image_edit_magic_data/image_239.png,make the model look like a superhero,image_edit_meta
edit_240,image_edit_magic_data/image_240.png,turn cap into a top hat,image_edit_meta
edit_241,image_edit_magic_data/image_241.png,replace girl with a puppy,image_edit_meta
edit_242,image_edit_magic_data/image_242.png,transform girl into a penguin,image_edit_meta
edit_243,image_edit_magic_data/image_243.png,replace flowers with butterflies,image_edit_meta
edit_244,image_edit_magic_data/image_244.png,replace blue eyes with green eyes,image_edit_meta
edit_245,image_edit_magic_data/image_245.png,make her smile,image_edit_meta
edit_246,image_edit_magic_data/image_246.png,convert mouse to a cat,image_edit_meta
edit_247,image_edit_magic_data/image_247.png,replace gun with a flower.,image_edit_meta
edit_248,image_edit_magic_data/image_248.png,make the dog a cat,image_edit_meta
edit_249,image_edit_magic_data/image_249.png,make her happy with the choice of healthy or unhealthy food,image_edit_meta
edit_250,image_edit_magic_data/image_250.png,switch jacket to t-shirt,image_edit_meta
edit_251,image_edit_magic_data/image_251.png,replace the cat with a dog,image_edit_meta
edit_252,image_edit_magic_data/image_252.png,make them aliens.,image_edit_meta
edit_253,image_edit_magic_data/image_253.png,change cyclists to unicorns.,image_edit_meta
edit_254,image_edit_magic_data/image_254.png,replace man with a cat,image_edit_meta
edit_255,image_edit_magic_data/image_255.png,make her hair long again,image_edit_meta
edit_256,image_edit_magic_data/image_256.png,make the dress green,image_edit_meta
edit_257,image_edit_magic_data/image_257.png,replace the pug with a cat,image_edit_meta
edit_258,image_edit_magic_data/image_258.png,make girl into boy,image_edit_meta
edit_259,image_edit_magic_data/image_259.png,make waves bigger,image_edit_meta
edit_260,image_edit_magic_data/image_260.png,replace the couple with a solo person,image_edit_meta
edit_261,image_edit_magic_data/image_261.png,switch flowers to butterflies,image_edit_meta
edit_262,image_edit_magic_data/image_262.png,change huge to tiny,image_edit_meta
edit_263,image_edit_magic_data/image_263.png,have her wear a superhero cape,image_edit_meta
edit_264,image_edit_magic_data/image_264.png,make them robots.,image_edit_meta
edit_265,image_edit_magic_data/image_265.png,make them old.,image_edit_meta
edit_266,image_edit_magic_data/image_266.png,replace house with castle,image_edit_meta
edit_267,image_edit_magic_data/image_267.png,change the cup to a mug,image_edit_meta
edit_268,image_edit_magic_data/image_268.png,morph man into a bird,image_edit_meta
edit_269,image_edit_magic_data/image_269.png,replace champagne with beer,image_edit_meta
edit_270,image_edit_magic_data/image_270.png,replace the cup with a guitar,image_edit_meta
edit_271,image_edit_magic_data/image_271.png,replace girl with kangaroo.,image_edit_meta
edit_272,image_edit_magic_data/image_272.png,replace elf with Santa,image_edit_meta
edit_273,image_edit_magic_data/image_273.png,replace black caviar with green jelly,image_edit_meta
edit_274,image_edit_magic_data/image_274.png,melt the ice cream,image_edit_meta
edit_275,image_edit_magic_data/image_275.png,replace blue suit with red shirt,image_edit_meta
edit_276,image_edit_magic_data/image_276.png,morph panda into cat,image_edit_meta
edit_277,image_edit_magic_data/image_277.png,swap mountains for beach,image_edit_meta
edit_278,image_edit_magic_data/image_278.png,morph terrier into a parrot,image_edit_meta
edit_279,image_edit_magic_data/image_279.png,turn the car into a futuristic spaceship,image_edit_meta
edit_280,image_edit_magic_data/image_280.png,replace diamond with pearl,image_edit_meta
edit_281,image_edit_magic_data/image_281.png,make her look older,image_edit_meta
edit_282,image_edit_magic_data/image_282.png,replace fish with cat,image_edit_meta
edit_283,image_edit_magic_data/image_283.png,replace fried egg with avocado,image_edit_meta
edit_284,image_edit_magic_data/image_284.png,replace dog with cat,image_edit_meta
edit_285,image_edit_magic_data/image_285.png,replace fishing boat with pirate ship,image_edit_meta
edit_286,image_edit_magic_data/image_286.png,switch mountains to beach,image_edit_meta
edit_287,image_edit_magic_data/image_287.png,replace the beer with a bottle of ketchup,image_edit_meta
edit_288,image_edit_magic_data/image_288.png,change dress to blue,image_edit_meta
edit_289,image_edit_magic_data/image_289.png,change lake to ocean.,image_edit_meta
edit_290,image_edit_magic_data/image_290.png,swap horse with dog,image_edit_meta
edit_291,image_edit_magic_data/image_291.png,turn the man into a woman,image_edit_meta
edit_292,image_edit_magic_data/image_292.png,change black panther to black elephant,image_edit_meta
edit_293,image_edit_magic_data/image_293.png,change house to castle,image_edit_meta
edit_294,image_edit_magic_data/image_294.png,swap flowers with butterflies,image_edit_meta
edit_295,image_edit_magic_data/image_295.png,have her apply a face mask,image_edit_meta
edit_296,image_edit_magic_data/image_296.png,have them wear sunglasses,image_edit_meta
edit_297,image_edit_magic_data/image_297.png,have the workers be robots,image_edit_meta
edit_298,image_edit_magic_data/image_298.png,turn hot springs into a giant pizza.,image_edit_meta
edit_299,image_edit_magic_data/image_299.png,replace bacon with sausage,image_edit_meta
edit_300,image_edit_magic_data/image_300.png,replace palace with castle,image_edit_meta
edit_301,image_edit_magic_data/image_301.png,make her look older.,image_edit_meta
edit_302,image_edit_magic_data/image_302.png,replace the dog with a cat,image_edit_meta
edit_303,image_edit_magic_data/image_303.png,replace the women with men.,image_edit_meta
edit_304,image_edit_magic_data/image_304.png,replace raw salmon with cooked salmon,image_edit_meta
edit_305,image_edit_magic_data/image_305.png,replace bird with a dog,image_edit_meta
edit_306,image_edit_magic_data/image_306.png,make them into penguins.,image_edit_meta
edit_307,image_edit_magic_data/image_307.png,switch luxurious red wedding dress to a casual black dress,image_edit_meta
edit_308,image_edit_magic_data/image_308.png,replace the man with a giraffe,image_edit_meta
edit_309,image_edit_magic_data/image_309.png,turn poppy into a heart.,image_edit_meta
edit_310,image_edit_magic_data/image_310.png,turn man into a woman,image_edit_meta
edit_311,image_edit_magic_data/image_311.png,morph bat into a cat,image_edit_meta
edit_312,image_edit_magic_data/image_312.png,replace birds with butterflies,image_edit_meta
edit_313,image_edit_magic_data/image_313.png,replace doll with a cat,image_edit_meta
edit_314,image_edit_magic_data/image_314.png,replace paddle board with a magic carpet,image_edit_meta
edit_315,image_edit_magic_data/image_315.png,change girl to robot,image_edit_meta
edit_316,image_edit_magic_data/image_316.png,change girl to boy,image_edit_meta
edit_317,image_edit_magic_data/image_317.png,replace brush with a pencil,image_edit_meta
edit_318,image_edit_magic_data/image_318.png,morph girl into a puppy,image_edit_meta
edit_319,image_edit_magic_data/image_319.png,make them look like they are from the 1920s,image_edit_meta
edit_320,image_edit_magic_data/image_320.png,make her hair red.,image_edit_meta
edit_321,image_edit_magic_data/image_321.png,replace pita bread with a pizza,image_edit_meta
edit_322,image_edit_magic_data/image_322.png,replace snow with cherry blossoms,image_edit_meta
edit_323,image_edit_magic_data/image_323.png,make wall into rainbow stripes,image_edit_meta
edit_324,image_edit_magic_data/image_324.png,change the statue's hand to hold a fish,image_edit_meta
edit_325,image_edit_magic_data/image_325.png,replace girl with Santa Claus,image_edit_meta
edit_326,image_edit_magic_data/image_326.png,make her hair red,image_edit_meta
edit_327,image_edit_magic_data/image_327.png,make her hair shorter,image_edit_meta
edit_328,image_edit_magic_data/image_328.png,turn the dog into a cat,image_edit_meta
edit_329,image_edit_magic_data/image_329.png,replace christmas tree with a potted plant.,image_edit_meta
edit_330,image_edit_magic_data/image_330.png,switch woman with bear,image_edit_meta
edit_331,image_edit_magic_data/image_331.png,replace tomatoes with potatoes,image_edit_meta
edit_332,image_edit_magic_data/image_332.png,replace villas to huts.,image_edit_meta
edit_333,image_edit_magic_data/image_333.png,give her a hat,image_edit_meta
edit_334,image_edit_magic_data/image_334.png,replace lollipop with a flower,image_edit_meta
edit_335,image_edit_magic_data/image_335.png,replace wildebeest with elephants,image_edit_meta
edit_336,image_edit_magic_data/image_336.png,make her hair shorter,image_edit_meta
edit_337,image_edit_magic_data/image_337.png,replace dog with cat,image_edit_meta
edit_338,image_edit_magic_data/image_338.png,have him to be sleeping on a couch instead,image_edit_meta
edit_339,image_edit_magic_data/image_339.png,change her hair to black and her lips to green,image_edit_meta
edit_340,image_edit_magic_data/image_340.png,make her a ghost,image_edit_meta
edit_341,image_edit_magic_data/image_341.png,turn red hair into purple hair,image_edit_meta
edit_342,image_edit_magic_data/image_342.png,swap the plant with a cat,image_edit_meta
edit_343,image_edit_magic_data/image_343.png,make her lips more purple,image_edit_meta
edit_344,image_edit_magic_data/image_344.png,make him look older,image_edit_meta
edit_345,image_edit_magic_data/image_345.png,replace the sword with a flower,image_edit_meta
edit_346,image_edit_magic_data/image_346.png,change location to machu picchu,image_edit_meta
edit_347,image_edit_magic_data/image_347.png,change dolphin to whale,image_edit_meta
edit_348,image_edit_magic_data/image_348.png,switch nuts to bolts,image_edit_meta
edit_349,image_edit_magic_data/image_349.png,colorize the statue,image_edit_meta
edit_350,image_edit_magic_data/image_350.png,have him to be eating a sandwich,image_edit_meta
edit_351,image_edit_magic_data/image_351.png,replace great blue heron with bald eagle,image_edit_meta
edit_352,image_edit_magic_data/image_352.png,have him to be on fire.,image_edit_meta
edit_353,image_edit_magic_data/image_353.png,make it a pina colada,image_edit_meta
edit_354,image_edit_magic_data/image_354.png,replace potatoes with carrots,image_edit_meta
